author,career_length,paper_year
Andrian Marcus,14,3
Saman Amarasinghe,20,9
Javier Lopez,14,8
Manuel Menezes de Oliveira Neto,22,9
Ruixuan Li,34,30
Eric A. Stone,12,8
Gerardo Canfora,24,15
Richard Furuta,35,10
Ziv Bar-Yossef,14,5
Juan de Lara,17,5
Peter Marwedel,41,28
Fredrik Gustafsson,25,13
S Ali Hojjatoleslami,18,3
Jan Kautz,15,4
Aya Soffer,18,10
Yuriy Brun,12,7
Jan Komorowski,35,28
Sergio Cocozza,31,14
Rich Williams,28,14
Gershon Elber,29,15
Jaikaran Singh,45,38
Yingxu Wang,40,29
Graeme Shanks,23,7
Samson Tu,28,18
William R. Cook,25,1
Songcan Chen,17,7
John Marioni,10,4
Jie Sun,35,14
Daniel Z. Levin,25,16
Vera van Noort,11,6
Nello Cristianini,16,2
Eric Paulos,21,11
Kasper Hornbaek,15,7
Yun-soo Choi,30,19
Ana Paiva,20,11
Michael Wooldridge,22,4
Nicola Bertoldi,15,8
Helmut Bölcskei,20,10
Jim Woodcock,28,9
ED Mynatt,23,9
Jing Xiao,20,10
Robert Haralick,46,6
Eric Dubois,28,12
Yikun Liu,35,18
Janez Demsar,18,10
G Shanks,23,7
Wen Xu,32,16
Ákos Lédeczi,22,12
Nicholas Theodore, MD, FACS,19,4
Michael J. Black,24,6
Vassily Hatzimanikatis,23,15
Samy Bengio,26,13
Yingxuan Zhu,31,21
Li Shen,33,27
Andrew W. Moore,21,12
Ian Horrocks,37,27
Leendert van Doorn,18,10
Blaine A. Price,31,10
Anne-Marie Kermarrec,21,10
Robert Tibshirani,32,12
Gabriele Lohmann,23,11
Chai Wah Wu,22,3
Vernon J. Richardson,16,7
Wang Yi,24,7
Cong Wang,5,1
Bing Bing Zhou,34,28
Kang Li,34,23
Munindar P Singh,24,15
Andrzej Pelc,29,14
Alain Tapp,18,3
Xiao-Zhi Gao,32,21
Nathalie A. Cabrol,28,18
Alan Bundy,42,17
Prof. Dr. Vadlamani Ravi, MIEEE, MACM,22,15
Nivio Ziviani,32,23
Tolga Tasdizen,17,6
Simon Lucas,26,15
Emilio Frazzoli,18,6
Andrew Turpin,19,12
Tsu-Chin Tsao,27,2
Marsha Chechik,20,13
Daniel Varro,14,2
Magnus Rattray,20,9
William Pearson,40,14
James Hansen,40,15
Adam Pease,23,10
Melanie Mitchell,33,15
Praveen Yalagandula,13,4
Gustavo Alonso,21,11
Jeffrey S. Foster,18,4
Paul Grefen,25,11
Ezio Biglieri,45,29
Lars Schmidt-Thieme,17,10
Alberto Del Bimbo,32,17
Bernd Sturmfels,29,11
Mehryar Mohri,20,3
Marko Balabanovic,18,4
Arnaud Legrand,20,6
Ying Wu,29,16
L. Jay Guo,31,13
Haneishi Hideaki,27,13
Wim Vranken,20,10
Gerhard P. Fettweis,26,16
Christos Papadopoulos,22,11
Benoit A Aubert,21,12
Jesper Kjeldskov,14,3
Debora Donato,13,8
Claudio Casetti,22,9
Daniel E. O'Leary,32,18
Christian Prehofer,21,4
Jehn-Ruey Jiang,33,16
Alberto Marchetti-Spaccamela,35,20
Martin Farach,24,13
Charles X. Ling,23,7
Peter Kogge,41,1
Bhaskar Krishnamachari,16,4
laurent besacier,18,10
Ramin Yahyapour,16,2
Jie Chen,35,24
Mike Gallivan,20,8
Xuejia Lai,26,3
Johanna Moore,41,20
Peter Kuchment,42,21
Kazuhito Yokoi,28,17
Paul C. van Oorschot,26,9
Guohong Cao,17,9
YingLiang Ma,35,25
Scott Hauck,23,11
Vijay Ganesh,16,10
Martin Erwig,23,9
Martine Labbé,31,16
Dirk Aeyels,36,21
Alan Ruttenberg,26,19
Ilaria Castellani,31,15
Zhengyou Zhang,35,21
Christian Rechberger,10,2
Xinan Yang,34,13
Hans-Peter  Kriegel,39,21
Shimon Y. Nof,38,23
Yoshihiko Nakamura,42,18
Patrick Gallinari,27,20
Guilin Wang,37,29
Andrea Rossi,35,17
Songcan Chen,17,7
Anna Lysyanskaya,16,3
Shwetak Patel,11,7
Yuhui Shi,23,7
Xuanhui Wang,33,27
Larry Davis,42,28
Haim J. Wolfson,36,24
Karen Spärck Jones (1935-2007),46,15
Patrick Biggs,22,3
Renato Pajarola,19,5
Choong Seon Hong,20,12
Paul Suetens,35,18
CW Chow,14,8
Richard M Leahy,31,10
Robert Butera,20,5
Paul Buitelaar,22,13
Frits W. Vaandrager,28,9
vapnik,43,27
Algirdas Avižienis,51,44
Gerhard W Dueck,27,16
emanuele paci,23,18
Joseph Halpern,34,23
Julien Gagneur,11,1
Erik Meijering,16,6
TV Lakshman,29,12
jin zhou ,34,19
Clem Karl,30,17
John Princen,26,0
Paolo Merialdo,24,12
Susan Stepney,32,10
Bianca Habermann,15,5
John Sibert,36,21
Koji Tsuda,19,6
James Davenport,35,9
LianWen Jin,32,22
CR Ramakrishnan,31,14
Giuseppe Persiano,25,16
Mark Cutkosky,32,7
Nitesh V Chawla,16,4
Jin-Dong Kim,15,4
Michael C. Burl,23,6
Martin Chodorow,38,22
Martin Dix,27,15
George Nagy,47,34
Greet Vanden Berghe,15,5
danah boyd,13,9
Minos Garofalakis,19,4
Alexandre Vaniachine,33,31
Koray Aydin,12,1
Nikolaos Avouris,24,10
Prakashan Korambath,25,16
Yin-Tien Wang,33,25
Joachim Weickert,21,5
Chen Fu,38,27
Sathiya Keerthi,31,18
Shudong Wang,37,27
Bin Zheng,21,2
Russell Beale,29,19
Thomas Alexander Gerds,13,9
Hugh Shanahan,23,11
Paul Gader,29,27
WT Tsai,30,6
HK Lam, Hak Keung Lam,17,6
Junku Yuh,29,15
Dan S. Wallach,21,8
Evert Jan van Loenen,32,5
C.Pandu Rangan,28,1
Charles Tresser,36,16
Marjan Mernik,26,17
Pablo Tamayo,26,11
Shaun Jackman,5,0
Giuseppe F. Italiano,28,13
Stephen McKenna,22,8
Sandra Mitchell Hedetniemi, Sandra L Mitchell,38,13
Sebastiano Vigna,23,13
Nikolay Ponomarenko,21,15
Abraham Flaxman,12,10
Jerome Lang,27,7
Hans-Peter Seidel,26,17
Prakash Panangaden,37,9
Alessandro Foi,10,3
Michael Muller,26,15
Allan D. Jepson,32,22
Fuchun Peng,12,5
Kadri Hacioglu,16,8
Vincenzo Piuri,31,20
Siani Pearson,23,12
Rajmohan Rajaraman,21,6
Anthony (Tony) G Cohn,35,13
Alexandra Birch,8,2
Walter HF Smith,25,9
Quentin Kaas,13,4
Markus Krötzsch,9,1
David Redmiles,31,18
Barbara Di Eugenio,27,18
Tracy Holloway King,19,3
Mirco Nanni,17,10
Lukas A. Mueller,19,8
Wagner Meira, Jr.,19,10
Simeon SIMOFF,23,8
Willy Susilo ,15,5
Adrian David Cheok,18,9
Christian Kreibich,13,3
Franck Fleurey,12,3
David A. Wood,41,32
Anatoli Juditsky,23,4
Tom Maibaum,42,22
Fred Chong,24,14
Marco Schaerf,25,18
Yuri Gurevich,39,21
David A. Naumann,23,11
Antonio S. Barros,22,10
Floris Geerts,16,10
Irwin King,26,20
James Davis,22,8
Daniel Mosse,25,13
Rainer Koschke,18,7
René JM van de Veerdonk,20,4
Ignacio E. Grossmann,37,20
Maxime Lhuillier,15,7
Remo Pareschi,23,4
MA Hossain,39,28
Sam Buss,36,8
Grace Hui Yang,30,19
Satinder Singh,43,28
Foster Provost,25,12
Sargur (Hari) Srihari,39,25
Ming-Syan Chen,39,21
Javier Gomez Castellanos,16,3
Feng Jing,9,5
Avi Ma'ayan,9,5
Haiping Xu,35,30
Miguel Correia,19,18
Paul A Bates,41,31
Bin Ma,16,4
Ryan Taft,10,6
Roy H Campbell,39,28
Gregorio Robles,12,1
Heiko Hirschmüller,16,10
Julien Epps,17,12
Bernd Hamann,24,1
Vassilis J. Tsotras,24,9
Jane Hunter,17,8
Qiang Yang,26,19
Svante Gunnarsson,28,12
Ankit Malhotra,12,5
Georg Lausen,32,14
Robert L Smith,43,13
Guillermo R. Simari,22,12
David Pearce,32,20
David Luebke,19,12
Xin wang,33,23
Tsai-Yen Li,36,17
Tamara L Berg,10,3
Timothy Danford,6,0
Chia-Chen Lin,37,28
Kensuke Harada,37,26
Giuseppe Riccardi,22,5
Bongwon Suh,10,6
Russ Greiner,33,27
Christian Dawson,18,7
Arlindo L Oliveira,26,16
Amihai (Ami) Motro,38,14
Xipeng Shen,24,14
Jordi Sabater-Mir,16,7
Herbert Jaeger,23,10
Markus Püschel,17,8
Susumu Tachi,40,18
Hanning Zhou,32,22
Rongxing Lu,11,5
Maido Remm,22,9
Adrienne Porter Felt,8,5
Ehud Shapiro,33,13
Ke Xu,19,8
Chengbin Chu,25,13
Paul Vitanyi,41,36
Tim Roughgarden,15,8
Daniel Barbara,33,4
José C. Segura,23,13
Volker Roth,15,5
Bo Kågström,37,16
Brian Mitchell,10,0
Robert H. Deng,27,11
Guido Governatori,22,14
X. Sean Wang,20,8
Herbert S. Wilf (1931-2012),56,37
Francesco Bullo,19,9
Tomas Vinar,15,8
Jens B. Schmitt,18,9
Aniket Kittur,10,4
Carsten Benthin,13,0
fernand meyer,40,8
Huawen Liu,36,31
Andrew KC Wong,43,17
Danail G Bonchev,43,6
Mike Hibler,20,9
Gregory Chockler,18,5
Robyn Owens,30,3
Ziv Bar-Yossef,14,5
J. (Ram) Ramanujam,27,20
Qingxiong Yang,9,4
Fabian Monrose,18,9
Michele Rossi,14,7
Helmut Prodinger,35,3
Fu Lai Chung,23,2
Jeffrey Shallit,39,28
Denny Vrandečić,10,2
Mrinal Mandal,20,5
Chongzhi Zang,10,4
Adrian Hilton,20,12
Stefan Kramer,20,6
Elisabeth Oswald,14,7
Sam Roweis (Memorial),16,5
Janet Wiles,24,16
Thomas Zimmermann,14,4
Peter Boyle,19,12
Dhiraj K Pradhan,42,24
Juan José Salazar González,20,2
Qi Tian,20,6
Anthony Butler,17,15
Tim Menzies,26,18
Zoubin Ghahramani,24,9
Claudio T. Silva,20,9
Terri Attwood,23,12
Thomas Hofmann,26,11
Antonio Capone,20,9
Edward Delp,37,22
Michael Winikoff,19,10
Jeff Moehlis,34,26
Scott E. Fahlman,41,16
Barry McCollum,28,21
Kostas Kontogiannis,21,5
Kanad Ghose,25,9
Timo Ahonen,9,3
David Lowe,36,26
Yue Xu,33,25
Johan Suykens,24,11
Scott T. Acton,23,12
Nikolaos Sidiropoulos,23,15
jean scholtz,25,17
Dejan Kostic,13,2
Mark Diekhans,15,3
Vojislav B Mišić,33,24
Jun Ueda,18,6
Matti Pietikäinen,34,22
Michael Schwartzbach,27,6
Matthias Zenger,9,1
Tshilidzi Marwala,17,3
Charles Consel,26,5
Enrico Pagello,34,22
Paolo Ciancarini,26,13
Chris Mitchell,30,25
Maciej Koutny,30,17
Philip Shilane,14,4
Jean-Bernard Stefani,25,18
Huigang Liang,15,8
Tobias Rausch,6,4
Maria Greco,19,7
Thomas Trikalinos,13,0
Ke XU,15,3
Timo Erkkilä,4,3
Paolo Pagano,15,8
Eric J. Korpela,24,13
Ibrahim Matta,23,10
Li Zhang,35,11
Valentin Goranko,29,7
Srini Devadas,28,18
Tobias Sing,7,1
Henning Müller,18,7
Henning Schulzrinne,24,13
Jinyan Li,19,7
Eugene H. Spafford,28,6
Kyle Jamieson,13,1
Rastislav Bodik,19,11
Leslie Carr,20,12
Roberto Montemanni,15,6
Rafal Goebel,14,9
Simon Baker,18,9
Thanasis Ziliaskopoulos,16,8
Pascale Fung,23,7
Brano Kusy,10,0
Andreas Holzinger,17,8
Marc Dacier,19,5
Holly Rushmeier,28,13
jean laroche,24,6
Sonia Bergamaschi,28,13
Niko Beerenwinkel,14,4
Hongfang Liu,16,9
Wei Zhang,10,5
HT Kung,41,27
Aude Billard,18,11
Douglas White,45,38
Badri Nath,29,19
Fredo Durand,19,7
Richard Radke,18,9
Anne Canteaut,20,4
Tom Bersano,17,9
Sarang Joshi,21,11
Ben Light,16,1
Steven H. Low,24,9
Lance Fortnow,26,4
Lei Zhang,15,3
Manolis GH Katevenis,33,10
Kostas Diamantaras,23,6
Dilys Thomas,13,4
Barbara P. Buttenfield,30,7
Aurelio Lopez-Lopez,40,30
Ehud Reiter,24,10
Jim Gray,42,25
Carlene Wilson,37,23
Phil McMinn,12,2
Zach Christopher,13,6
Simone Diniz Junqueira Barbosa,19,1
Vasant G Honavar,27,11
Pei-Chann Chang,25,4
Wen-Chih Peng,28,20
Michael Taylor,19,7
Nevenka Dimitrova,22,10
Philip R. Cohen,37,16
Hui-Hsien Chou,21,8
Thu D. Nguyen,23,12
Jean-Christophe Pesquet,26,23
Kostas Karpouzis,16,9
Alberto Elfes,30,2
Jyri Huopaniemi,16,5
A Stephen Morse,44,33
Yuan-Fang Wang,36,17
Larry Blume,37,9
Giorgio Ausiello,45,31
Stephen Strother,30,6
Garrison W.  Cottrell,32,23
David W. Jacobs,27,16
Hugo Valle,9,0
Anil Vullikanti (VS Anil Kumar),15,5
Ilya Goldberg,25,12
Barbara Pernici,33,26
Jürgen Teich,24,13
Tom Dhaene,22,16
Guttorm Sindre,27,18
Francesco M. Donini,26,8
James G. Phillips,24,11
Benoit Libert,11,2
Krishna P. Gummadi,13,0
Suharyo Sumowidagdo,16,13
Yanchun Zhang,36,20
Barbara Weir,10,4
J. Alex Halderman,12,1
Wang Shijun,35,32
Ajay Divakaran,19,6
Michael Negnevitsky,21,12
Chris Cornelis,14,4
Philip M. Long,22,12
Gabriel Robins,27,14
Morris Sloman,34,21
Quoc V. Le,15,14
Richang Hong,16,10
Heikki Kalviainen,24,5
Nuno Barbosa-Morais,10,3
Alexandru Iosup,10,3
Mary Baker,28,14
Subhasis Chaudhuri,27,2
Hovav Shacham,13,0
Andreas Nürnberger,18,9
Wenbo He,34,28
Pitu Mirchandani,39,15
Orion Hodson,17,1
Frank Dellaert,20,7
Arvind Krishnamurthy,21,15
Tracy Camp,21,10
Helmut Grabner,8,1
W. Eric Wong,21,2
Richard F. Lyon,40,14
Lev Tsimring,33,12
Maria Domenica Di Benedetto,36,24
Zhang, Xiangrong,34,24
Changsheng Xu,26,15
Christoph Stiller,24,9
Erhard Rahm,30,17
Kim Bruce,29,11
Jonathan Baxter,18,8
Nenad Medvidovic,19,5
Stephanie D. Teasley,26,7
Olivier Salvado,16,12
Stephan Weiss,21,17
Attila Gursoy,23,8
Kasper Hornbæk,15,7
Paul Rosenbloom,32,6
Fausto Giunchiglia,31,21
Richard Taylor,43,29
Luis Magdalena,22,9
Hui Li,36,23
Helmut Mayer,20,6
Jacques Desrosiers,35,16
Chandra Chekuri,19,2
Fabio Grandi,23,3
Thomas Reps,33,9
Andreas Harth,10,1
Pamela Zave,38,21
Alexis Christoforides,4,0
Thomas W. Sederberg,36,8
Pu ZHANG,31,10
Mark Maimone,25,14
David Jensen,25,17
Franca Fraternali,27,23
James C. Bezdek,41,8
Weiping Wang,34,32
Alessandro Ricci,13,7
Stratis Viglas,13,1
Aditya Akella,35,31
Thomas Seidl,21,6
Hisao Ishibuchi,25,9
Qin Lv,12,0
Richard Heeks,28,16
Uzay Kaymak,21,5
David Walker,16,1
Bissan Al-Lazikani,16,9
Joe Loureiro,21,5
Dr Zheng Baihua (郑白桦),13,1
Martin Wattenberg,18,4
Murray Shanahan,27,10
Aloysius Mok,38,7
Susan Eisenbach,32,14
Wen Jiang,20,14
Jinyang Li,14,1
Cai-Nicolas Ziegler,10,3
Ravi Jain,21,15
Ali Hojjat,18,3
Marco Cesati,18,10
Kellogg S. Booth,41,4
Hong Lee,39,28
Xinyu Wang,27,15
Minseok Seo,13,4
Siegfried Handschuh,17,9
Peter Salamon,41,17
Guoxiao Guo,18,2
PENGJUN WAN,21,9
Simon Julier,20,10
Julita Vassileva,24,13
Peter Volgyesi,13,0
Patrick X. Zhao,16,13
Daniel Roggen,15,8
George Magoulas,20,9
Julian Gough,14,5
Aniruddha Gokhale,19,1
Jeffrey Ullman,53,18
Emad S Ebbini,27,8
Rafael Fierro,20,8
Giovanni Pacifici,29,20
Michael Kuhn,13,10
Daniele Turi,19,14
Davide Scaramuzza,10,7
Wei-Jen Yang,32,23
Gavin Ha,4,2
JingTao Yao (姚静涛),19,5
John Wagner,23,12
Felisa Verdejo,38,23
Piero Fariselli,20,2
Oren Etzioni,27,11
Akash Tiwari,34,22
Jeremy G. Frey,31,24
Kumar Vishal,40,29
Lieu-Hen Chen,30,13
Alex Nicolau,33,27
Till Bergmann,17,7
Andrea Calì,13,3
Tor Hildebrand,5,5
William M. Farmer,30,12
Dirk Riehle,20,4
Gail Murphy,22,3
David C Wedge,9,7
Peter Cogan,9,1
Bogdan Warinschi,17,6
Riccardo Leonardi,29,2
Marios Koufaris,18,6
David Wagner,31,20
Howard Elman,35,26
Vladimiro Sassone,24,13
Falcao, AX,21,5
Antony Galton,30,0
Jonathan Schaeffer,31,19
Huijing Zhao,33,24
Tolga Tasdizen,17,6
Stephen Kobourov,16,5
Maneesh Agrawala,19,9
George N. Rouskas,23,10
Benyu Zhang,33,26
Vijay K. Garg,36,18
Patrick Cahan,13,9
Bart Baesens,19,9
Luis Nunes Vicente,22,17
Kieron O'Hara,23,15
Michael Koch,20,15
Alexander Tuzhilin,29,20
Ramesh Govindan,24,10
Kaushik Chowdhury,9,2
David Corne,22,8
Ulises Cortes,26,18
Hongbo Jiang,32,29
Tristan Henderson,14,8
Pedro Sander,14,1
Jian Tang,9,1
Kunihiro Nishimura,19,12
Yuri Boykov,17,4
Radhakrishna Achanta,11,7
Robert Ricci,13,1
Matthew A Hopcroft,15,11
Andrew Gentles,19,12
Yixiong Liang,33,21
Vinay Ribeiro,15,5
Steven Fortune,36,10
Yingli Lu,35,25
Domenico Sacca',32,9
Fei-Yue Wang,36,24
John Rasmussen,24,17
Josef Bigun,28,5
Cees GM Snoek,12,8
Marc K Albert,20,3
Choong Hoon Lee,40,17
Hyungsin Kim,29,15
François Chaumette,25,3
Andreas Moshovos,34,17
Yunhong Gu,34,27
Daniel Gatica-Perez,17,8
Hung Keng Pung,29,20
Gilles Soulez,26,22
Michael D. Grossberg,22,15
Bernhard Westfechtel,26,10
Dr. Manoj Kumar,33,22
Edleno Silva de Moura,16,3
Atanas Kiryakov,13,5
Andrzej M. Kierzek,17,7
B. Ross Barmish,38,19
Tadahiko Murata,33,18
Xufei Wang,35,22
Greg Worrell,16,5
Gary T. Leavens,30,21
Yuming Jiang,36,24
Miron Livny,32,14
Benjamin B. Bederson,21,2
Nozha Boujemaa,22,15
Paul Syverson,24,14
Georges Fadel,27,11
Benjamin Pierce,37,25
Sudipto Guha,16,0
Adrian Kaehler,16,10
Haixun Wang,34,23
Joe Peppard,26,19
Guoyin Wang,34,21
Paolo Toth,38,14
Julien Lagarde,10,3
Zhuo Li,34,16
Robert Loce,29,12
Hans Mittelmann,40,29
Rebecca J. Passonneau,27,17
Alessandro Moschitti,15,7
Bashar Nuseibeh,23,9
Bowen Zhou,30,11
Amr Sabry,35,14
Emma Hart,17,6
Terry Peters or T Peters or TM Peters,37,17
Julia Handl,12,3
Liangjiang Wang,37,30
Victor Vianu,37,18
weiwei huang,35,28
Ewert Bengtsson,38,28
Bulent Sankur,33,23
Ying-Cheng Lai,23,11
Karl-Erik Arzen,30,15
carmen santoro,15,4
Mihir Bellare,24,3
Jan Mendling,12,8
Mario AT Figueiredo,22,15
Lior Rokach,13,10
Manfred Reichert,24,7
Gabor T. Herman,46,27
Eran Tromer,12,7
Brian Wyvill,39,11
Marilyn E Noz, ME Noz, M.Noz,42,25
Kate Smith-Miles,37,30
Chen-Nee Chuah,19,7
Michael A. Bender,20,6
Shamkant B Navathe,38,33
Samir K.Brahmachari,37,16
Jinhu Lu,31,19
Herbert Winful,36,1
Pierre Jouvelot,29,6
Roberto Colombo,25,10
Xiaowei Xu,35,16
Danil Prokhorov,21,5
Jean Berstel,45,12
Ramani Duraiswami,23,11
Ramani Duraiswami,23,11
Nicholas Roy,18,5
Tomáš Svoboda,17,10
Zhenqiang Su,12,4
Javier Minguez,14,4
Michael Gleicher,24,12
Dan Suciu,23,9
Bulent Abali,24,6
Frank Mueller,22,16
Jinde Cao,18,7
Dennis L Parker,36,4
Miriam Konkel,16,12
Leysia Palen,19,8
Richard DeMillo,38,4
Jens Lehmann,9,3
Hideo Saito,27,12
Minyi Guo (过敏意),17,12
Miroslav Dudik,10,3
Guoping Qiu,23,15
Eneko Agirre,25,7
Zheng Zhao,34,26
Gunnar Evermann,16,0
Gustau Camps-Valls,15,6
Douglas L. Jones,31,20
Casey Bergman,14,7
Jari Kangas,27,9
Janak H. Patel,33,6
Mark A. Davenport,9,3
Peter Hofmann,14,4
Pat Morin,17,4
Piet Mertens,27,3
Shai Halevi,23,13
Tom Holvoet,19,10
Mateu Sbert,21,8
Andrew CR Martin,37,19
Phokion Kolaitis,34,26
Stafford Tavares,40,20
Alberto Paccanaro,18,10
Nicola Santoro,38,9
Francois PACHET,25,14
Maria-Florina Balcan,10,2
Tsuhan Chen,36,20
Animesh Ray,30,19
M Nazmul Karim,35,25
Wenwu Yu,9,4
Jesper Kjeldskov,14,3
Marin Litoiu,17,12
Vojislav Kecman,25,13
Jaideep Vaidya,12,0
Mirco Musolesi,10,4
Hanhoon Park,34,16
Hong Wei Dong,14,6
Daniel Huttenlocher,31,10
Jae W. Lee,12,0
Lee Altenberg,30,12
Agostinho C da Rosa,25,13
Sandeep Shukla,20,11
Andreas Dengel,27,18
Mark Jones,24,18
Yinghui Wu,30,25
Patrick McSharry,22,11
Abhik Roychoudhury,19,12
francesca buffa,16,10
Qingfeng Huang,20,10
Hillol Kargupta,22,12
Shivkumar Kalyanaraman,20,9
Reinhold Behringer,23,11
David Johnston,31,21
Chu-Song Chen,37,22
Heng Li,10,5
Michele Garetto,13,5
Dirk Thierens,22,2
Alberto Moreira,26,18
Phil Wang,35,24
Jun Zhu,34,17
Oscar Corcho,15,5
Katharina Morik,33,18
Chun Wei Yap,10,8
Sankaran Mahadevan,30,15
Randal Burns,31,28
Mingzhou Ding,29,16
Dick Botteldooren,22,2
petia radeva,22,14
Neil Gandal,22,0
Hans Eberle,26,17
Ming-Tat Ko,24,10
Renato Assunção,20,11
Helmut Veith,19,5
Marc Pearlman,12,4
Refik Molva,29,17
Ross M. McConnell,30,16
Joergen Bang-Jensen,26,19
Wenjun Zeng, Ph.D., IEEE Fellow,21,5
Richard Bamler,32,21
Gerome Miklau,11,6
chris h wiggins,19,11
Alexander Mazurov,7,5
Elżbieta Pękalska,14,1
Stephen Jesse,14,5
Thomas J Ross,18,3
Yang Tao,22,5
Jamal N. Al-Karaki,11,1
Kent Seamons,19,6
Richard Stubbs,40,28
Jan van Gemert,14,10
Naphtali Rishe,30,24
Michael Bowling,19,6
Jialiang Yang,37,18
Iliano Cervesato,22,7
Kwan Min Lee,14,4
Xiaoyi Jiang,32,13
Hans-Christian Hege,27,8
Craig Tovey,33,8
Charles Sutton,12,4
Rita Casadio,40,28
Calin Belta,15,5
Yoram Koren,44,22
Yong Li,35,30
Jin-Hai Zhang,35,22
Masayuki Abe,41,23
Amélie Marian,14,3
Prosenjit Bose,22,9
Dimitris Achlioptas,18,7
Tim Cornwell,34,2
Xuxian Jiang,36,34
Peng Ning,14,5
johan eker,18,8
Théodore Papadopoulo,21,12
Walt Melo,13,5
Hassan Aït-Kaci,30,16
Michael Fellows,29,14
Jia Li,17,6
William Messner,25,2
C Lee Giles,33,17
Leandros Tassiulas,25,3
Andrea Omicini,22,7
Scott Mahlke,23,2
Tim Bailey,14,7
Nigel Smart,22,7
Dimitri Kanevsky,26,14
Duncan S. Wong,19,10
Neel Joshi,11,2
William B. Thompson,40,6
Markus Diesmann,19,2
Paul Havinga,28,18
TM Murali,17,5
Li Zhang,17,8
Jun Nakanishi,17,6
Michael Strickland,24,5
Jan Peters,14,8
Xavier Bresson,12,5
Jamie Callan,16,7
David Roos,35,23
Sheng Chen,29,5
Wim Bohm,37,26
Wentong Cai,26,18
Greg Gagne,24,12
Vincent Wade,22,15
Sushmita Mitra,24,17
Raj Jain,30,7
Greg Gagne,24,12
Rick Stevens,29,23
Brygg Ullmer,21,4
Alex Orailoglu,31,18
Ji-Ping Wang,30,13
Winter Mason,14,11
Xiaozheng Zhang,37,20
Nian-Shing Chen,24,1
Junichi Suzuki,34,19
Kurt Jensen,34,16
Greg Hennessy,13,5
Noboru Murata,22,2
Huamin Wang,34,20
Panos Markopoulos,22,16
Akram Aldroubi,23,9
Talapady N Bhat,38,27
Dennis DeCoste,23,12
Nasir Ghani,18,4
Jie Yang,21,10
Volker Haarslev,29,16
Tao Jiang,26,7
Jens Lagergren,26,3
M. Ali Babar,10,0
Göran Goldkuhl,35,4
Vijay Vaishnavi,37,29
Alessandro Orso,19,10
Shaohong Zhang,35,5
Thomas Vetter,23,9
Sayan Mukherjee,22,12
Brian Henderson-Sellers,39,21
Paulo Esteves Verissimo,26,13
Michael Lewicki,20,6
Rafael A. Calvo,19,15
Vladimir Lukin,22,16
Francis Bach,13,2
Jean-Sebastien Coron,15,0
Sheizaf Rafaeli,28,4
y. charlie hu,34,22
Roger Clarke,37,11
Cristina Nita-Rotaru,14,2
Hao Ying,27,3
Xin Zhang,34,20
Takehiro Yamamoto,48,12
Bin Yao,37,19
Richard Socher,7,2
Marie-Pierre Jolly,23,10
Maurizio Lenzerini,37,25
Matthew Flatt,24,4
Robert Bridson,15,3
Chengzheng Sun,33,16
Wheeler Ruml,21,10
Phan Minh Dung,28,9
Cenk Sahinalp,20,16
Dongyan Xu,16,5
Cormac Flanagan,34,23
LIU Wenyin,33,18
Patrick Schaumont,20,5
Sven Apel,13,7
Pawel Winter,32,10
Robert Hierons,23,16
Harald Ruess,19,9
Pedro Salgado,4,3
Wenfei Fan,33,21
Yuan Chen,37,28
Alessandro Veneziani,18,3
Michael Biehl,26,4
Julio Gonzalo,18,2
Hausi A. Muller,30,25
Chris Williams,23,15
Dirk Beyer,16,9
Nasser Kehtarnavaz,30,23
Yu Zhong,19,2
Patrick Hanrahan,32,14
Burkhard Rost,22,1
Koushik Sen,12,3
Dimitri Komatitsch,20,4
Z. Meral Ozsoyoglu,35,18
Claudio Bartolini,16,4
Sarah Spiekermann,16,3
Kainam Thomas Wong,18,4
Tei-Wei Kuo,23,11
Daniel J Brass,38,28
Naveen kumar SK,39,36
Eiichi Yoshida,21,9
Liu Yunhuai,37,33
Jeffrey Xu Yu,36,31
Juanzi Li,36,29
Jan Jürjens,14,5
Jan van Erp,21,11
Peter Jeavons,22,6
Ricardo Dahab,15,1
Xiaoming Hu,28,15
Alain J. Martin,36,3
Andreas Pitsillides,22,5
Dan Jurafsky,26,12
Yurii Nesterov,36,16
Tae-Sun Choi,22,1
Bianca Zadrozny,13,2
Ed H. Chi,19,13
Lionel Ni,36,25
Richard Dearden,20,1
Boris Polyak,47,1
Gregory Kersten ,29,14
Neil Heffernan,17,8
PETER TRIANTAFILLOU,27,18
Song Zhang,11,7
Robert Muth,16,9
Tuncer Oren,44,9
Shang-Kuan Chen,36,17
Hong Cheng,36,28
Xuemin Chen,37,3
Haifeng Liu,36,30
Jiaying Wu,37,18
Kuk-Hyun Han,13,2
David Tse,23,13
Dimitrios M. Thilikos (Δημήτριος Μ. Θηλυκός),19,10
Philip Barnard,37,20
Pedro Reche,20,8
Aylwyn Scally,13,9
Wu Ji,37,30
Gerhard Krieger,36,28
Rajarshi Das,24,0
Paul Aljabar,10,2
Sunil K. Agrawal,39,27
Nicholas Lane,13,9
Gian Pietro Picco,20,4
Joachim Parrow,31,9
Heinrich Hussmann,29,8
Tony Prescott,23,8
Dana Ballard,42,19
Wei Xing Zheng,29,21
Michael Mitzenmacher,20,10
Karl Dykema,9,6
Doug Lea,20,12
Jacques A. de Guise,33,12
Yabing Liu,36,29
Jerry L. Prince,33,16
Ron Weber,37,27
Andrew Parker,12,4
