author,career_length,paper_year
Mofakharul Islam,35,17
Beverly Park Woolf,34,30
Padraig Cunningham,26,10
Garnette Sutherland,33,29
Jeff Z. Pan,21,13
Laurent Mathy,19,9
Ke Yi,12,6
Hagit Messer,35,13
Guenter Tusch,30,10
Yasemin Altun,14,5
Juan Pavón,27,15
Mauricio La Rota,8,0
Tom Heath,9,4
Qingyu Zhang,33,22
Anders Lansner,32,16
William Hager,42,17
Jeffrey Naughton,29,14
Kunal Verma,10,2
Changick Kim,38,26
Rainer Stiefelhagen,18,12
Omer Rana,15,4
Edgar Chavez,17,4
Mohan Kankanhalli,26,9
Peter Van Roy,30,20
Rajarshi Guha,9,2
Jim Woodcock,28,9
Sethu Vijayakumar,19,10
Gregory Hornby,16,5
Andreas Reigber,17,3
Trac D. Tran,20,7
Nigel Shadbolt,32,17
Hai Zhuge,27,17
FR  McMorris,43,11
José Tribolet,40,3
Upkar Varshney,22,10
Behnaam Aazhang,29,19
Vladimir Vacic,9,2
Raquel Urtasun,13,5
Norishige Chiba,42,33
Pavel Brazdil,28,17
 Frigui,29,14
Lelai Zhou,28,17
oscar diaz,24,9
Tin Kam Ho,27,11
Shannon McWeeney,17,7
Michael Greenacre,42,12
Maosong Sun,25,11
Frank Neven,17,5
Brian L. Evans,24,15
Haitao Zheng,20,12
Panagiotis Tsakalides,23,10
Pan Zhang,34,14
Boon Thau Loo,13,2
Ricard Gavaldà,25,21
Andrea Schaerf,22,8
Rosemary Braun,15,6
John Laird,31,5
James Galagan,13,0
Tran Cao Son,19,6
Marta Filizola,19,13
Camille Salinesi,19,3
Kristin E. Lauter,18,14
Emilio Leonardi,22,8
Magdalena Balazinska,16,6
David Lo,8,0
Supriyo Sinha,33,29
Dhiraj Joshi,12,6
Collin F. Baker,16,1
Hakim Weatherspoon,15,1
Tijl De Bie,14,4
Gustavo C Cerqueira,14,5
Toyoaki Nishida,35,8
Eric Gaussier,22,11
Clifford A. Shaffer,31,14
Shree Nayar,25,7
Yannis Kalaidzidis,19,10
Christophe Garcia,20,5
Teodor Gabriel Crainic,36,18
Eric Horvitz,30,14
Eric Horvitz,30,14
Gary M. Olson,47,33
S. Sudarshan,24,7
Frank Kampas,41,0
Qusay H. Mahmoud,18,12
Yong-Yeol Ahn,10,3
Alexander Russell,21,0
Charles Rich,40,14
Alessandro Oltramari,12,1
Geoff Webb,31,17
David Bainbridge,19,16
Michael I. Jordan,28,17
Alex B. Gershman (1962-2011),24,15
Randy Ellis,29,11
Nianwen Xue,14,5
A. Surjalal Sharma,38,22
Thierry Emonet,18,9
William Gropp,35,20
Martin Grohe,20,12
Marta Sabou,12,3
Edward W. Felten,29,24
Gunnar Rätsch,17,4
Georges Grinstein,26,14
Mukund Thattai,15,3
Athena Vakali,17,12
Chadi Barakat,16,2
Matthew Valenti,18,8
Maite Brandt-Pearce,21,12
Carlos Oscar S. Sorzano,16,6
Yulong Zhang,35,22
Ganesh Gopalakrishnan,30,7
Ryan O'Donnell,12,5
Massimiliano Ciaramita,14,9
Kamal Gupta,26,0
gerard cornuejols,39,2
Marco Pagni,10,10
John C. Hart,23,3
Alexandros Stamatakis,15,7
